 ,Area,Perim.,Circ.,AR,Round,Solidity
1,415,89.841,0.646,2.092,0.478,0.875
2,181,55.213,0.746,1.753,0.570,0.945
3,646,98.184,0.842,1.084,0.922,0.959
4,426,78.527,0.868,1.057,0.946,0.954
5,465,85.456,0.800,1.598,0.626,0.959
6,273,60.770,0.929,1.138,0.879,0.940
7,74,30.971,0.969,1.176,0.851,0.931
8,264,61.941,0.865,1.433,0.698,0.921
9,221,55.113,0.914,1.136,0.880,0.931
10,25,28.485,0.387,4.214,0.237,0.833
11,485,82.083,0.905,1.072,0.933,0.941
12,639,97.740,0.841,1.351,0.740,0.945
13,92,35.799,0.902,1.290,0.775,0.906
14,216,55.113,0.894,1.170,0.854,0.925
15,432,77.598,0.902,1.224,0.817,0.948
16,387,86.083,0.656,2.529,0.395,0.894
17,503,83.255,0.912,1.175,0.851,0.952
18,407,77.012,0.862,1.481,0.675,0.951
19,257,60.184,0.892,1.362,0.734,0.924
20,345,68.770,0.917,1.169,0.856,0.940
21,149,45.456,0.906,1.218,0.821,0.925
22,399,74.184,0.911,1.106,0.904,0.942
23,407,86.083,0.690,1.855,0.539,0.860
24,245,58.284,0.906,1.191,0.840,0.935
25,494,87.355,0.814,1.689,0.592,0.960
26,272,60.527,0.933,1.158,0.864,0.948
27,659,103.740,0.769,1.506,0.664,0.911
28,171,53.213,0.759,1.789,0.559,0.942
29,350,68.770,0.930,1.230,0.813,0.951
30,527,86.912,0.877,1.229,0.814,0.939
31,581,110.225,0.601,2.808,0.356,0.840
32,10,11.071,1.000,1.288,0.776,0.909
33,611,104.811,0.699,2.004,0.499,0.870
34,184,49.698,0.936,1.162,0.860,0.925
35,584,89.255,0.921,1.090,0.917,0.954
36,20,16.728,0.898,1.328,0.753,0.816
37,260,58.527,0.954,1.263,0.792,0.954
38,871,130.811,0.640,2.547,0.393,0.901
39,461,87.255,0.761,1.769,0.565,0.938
40,228,56.770,0.889,1.218,0.821,0.927
41,158,47.456,0.882,1.317,0.759,0.921
42,387,75.012,0.864,1.390,0.719,0.936
43,398,74.184,0.909,1.251,0.799,0.950
44,233,56.284,0.924,1.149,0.871,0.941
45,364,70.770,0.913,1.298,0.771,0.952
46,629,94.912,0.877,1.119,0.894,0.947
47,364,70.770,0.913,1.127,0.887,0.949
48,558,87.841,0.909,1.062,0.942,0.951
49,62,34.728,0.646,2.910,0.344,0.939
50,158,47.113,0.895,1.345,0.743,0.908
51,450,91.740,0.672,2.100,0.476,0.909
52,598,92.811,0.872,1.358,0.736,0.941
53,525,86.083,0.890,1.329,0.752,0.943
54,197,59.456,0.700,2.231,0.448,0.938
55,544,86.669,0.910,1.074,0.931,0.949
56,828,112.326,0.825,1.578,0.634,0.944
57,267,60.770,0.909,1.348,0.742,0.940
58,201,52.284,0.924,1.358,0.736,0.946
59,1,2.828,1.000,1.000,1.000,1.000
60,87,47.556,0.483,3.978,0.251,0.930
61,73,39.556,0.586,3.186,0.314,0.948
62,49,33.556,0.547,2.910,0.344,0.883
63,46,37.556,0.410,4.465,0.224,0.852
