 ,Area,Perim.,Circ.,AR,Round,Solidity
1,285,62.1838,0.9262,1.1534,0.8670,0.9375
2,81,32.3848,0.9705,1.2042,0.8304,0.9257
3,278,63.9411,0.8545,1.3887,0.7201,0.9190
4,231,55.6985,0.9357,1.1407,0.8767,0.9409
5,501,82.6690,0.9212,1.0748,0.9304,0.9480
6,660,98.3259,0.8579,1.3371,0.7479,0.9517
7,99,35.7990,0.9707,1.2694,0.7878,0.9429
8,228,55.6985,0.9235,1.1421,0.8756,0.9402
9,448,78.4264,0.9153,1.2073,0.8283,0.9471
10,401,87.4975,0.6582,2.4988,0.4002,0.8901
11,520,84.6690,0.9115,1.1820,0.8460,0.9515
12,425,77.8406,0.8814,1.4507,0.6893,0.9529
13,271,62.1838,0.8807,1.3476,0.7421,0.9218
14,159,46.2843,0.9327,1.2250,0.8163,0.9298
15,412,75.5980,0.9059,1.1058,0.9043,0.9450
16,426,87.4975,0.6992,1.8099,0.5525,0.8694
17,260,59.9411,0.9094,1.1535,0.8669,0.9319
18,289,62.7696,0.9217,1.1312,0.8840,0.9353
19,676,104.3259,0.7805,1.4825,0.6745,0.9086
20,361,70.1838,0.9210,1.2220,0.8183,0.9450
21,545,86.9117,0.9067,1.2246,0.8166,0.9487
22,610,112.5685,0.6049,2.7484,0.3639,0.8484
23,14,12.4853,1.0000,1.0199,0.9805,0.9333
24,641,106.5685,0.7093,1.9359,0.5166,0.8841
25,195,51.1127,0.9380,1.1473,0.8716,0.9286
26,593,89.2548,0.9354,1.0895,0.9178,0.9603
27,902,132.2254,0.6483,2.5169,0.3973,0.9084
28,239,57.1127,0.9208,1.2133,0.8242,0.9391
29,167,48.0416,0.9093,1.2905,0.7749,0.9330
30,413,76.7696,0.8806,1.3746,0.7275,0.9505
31,415,77.5980,0.8661,1.2461,0.8025,0.9368
32,244,57.9411,0.9133,1.1377,0.8790,0.9295
33,377,72.5269,0.9006,1.2853,0.7780,0.9520
34,652,94.4264,0.9189,1.1149,0.8969,0.9617
35,379,72.1838,0.9141,1.1486,0.8706,0.9475
36,578,89.0122,0.9167,1.0503,0.9521,0.9562
37,170,47.6985,0.9390,1.3580,0.7364,0.9315
38,472,89.2548,0.7445,2.0416,0.4898,0.9219
39,613,94.2254,0.8676,1.3537,0.7387,0.9416
40,543,86.6690,0.9084,1.3202,0.7575,0.9535
41,555,87.2548,0.9161,1.0732,0.9318,0.9536
42,858,113.7401,0.8334,1.5643,0.6393,0.9491
43,281,62.7696,0.8962,1.3219,0.7565,0.9274
44,215,54.5269,0.9087,1.3070,0.7651,0.9287
45,3,5.6569,1.0000,1.4638,0.6831,0.8571
